script,dependency_count,dependencies,analysis_time
script_38,7,"['numpy', 'matplotlib', 'scipy', 'pennylane', 'cirq', 'qiskit', 'qiskit_aer']",0.0542
script_39,8,"['pandas', 'numpy', 'sklearn', 'tensorflow', 'scipy', 'community', 'networkx', 'redis']",0.055
script_40,4,"['sklearn', 'pandas', 'numpy', 'scipy']",0.0496
script_41,5,"['numpy', 'queue', 'concurrent', 'concurrent.futures', 'redis']",0.0196
script_42,6,"['numpy', 'sklearn', 'scipy', 'ortools', 'cvxpy', 'pulp']",0.0278
script_43,5,"['asyncio', 'pydantic', 'dataclasses', 'inspect', 'weakref']",0.0091
script_44,13,"['numpy', 'cProfile', 'line_profiler', 'memory_profiler', 'objgraph', 'psutil', 'pstats', 'pympler', 'gc', 'tracemalloc', 'weakref', 'multiprocessing', 'redis']",0.0261
script_45,8,"['numpy', 'psycopg2', 'OpenGL', 'pygame', 'arcade', 'pymunk', 'dataclasses', 'redis']",0.0424
script_46,13,"['numpy', 'matplotlib', 'tensorflow', 'soundfile', 'scipy', 'pydub', 'aubio', 'librosa', 'wave', 'pyaudio', 'mir_eval', 'music21', 'essentia']",0.0395
script_47,13,"['numpy', 'tensorflow', 'matplotlib', 'torch', 'sklearn', 'pillow', 'cv2', 'face_recognition', 'dlib', 'torchvision', 'PIL', 'mediapipe', 'skimage']",0.0409
script_48,12,"['numpy', 'pandas', 'requests', 'bs4', 'pymongo', 'textblob', 'wordcloud', 'nltk', 'hashlib', 'scrapy', 'selenium', 'redis']",0.0511
script_49,8,"['sqlalchemy', 'pandas', 'numpy', 'pymongo', 'psycopg2', 'requests', 'redis', 'hashlib']",0.0525
script_50,9,"['numpy', 'hashlib', 'secrets', 'cryptography', 'ssl', 'base64', 'ipaddress', 'hmac', 'redis']",0.0668
script_51,3,"['matplotlib', 'numpy', 'pandas']",0.0035
script_52,5,"['requests', 'bs4', 'nltk', 'json', 'redis']",0.0045
script_53,5,"['sklearn', 'numpy', 'tensorflow', 'joblib', 'json']",0.0051
script_54,5,"['numpy', 'matplotlib', 'pillow', 'cv2', 'PIL']",0.0041
script_55,5,"['tensorflow', 'numpy', 'pandas', 'sklearn', 'pillow']",0.0048
script_56,5,"['numpy', 'pandas', 'matplotlib', 'plotly', 'seaborn']",0.006
script_57,8,"['flask', 'pandas', 'hashlib', 'psycopg2', 'requests', 'json', 'redis', 'uwsgi']",0.0084
script_58,9,"['pandas', 'matplotlib', 'pymongo', 'requests', 'textblob', 'wordcloud', 'nltk', 'spacy', 'bs4']",0.0084
script_59,7,"['pandas', 'numpy', 'matplotlib', 'sklearn', 'statsmodels', 'pmdarima', 'prophet']",0.0099
script_60,5,"['sqlalchemy', 'pandas', 'numpy', 'requests', 'json']",0.0119
