script,sciunit_dependencies,llm_dependencies,sciunit_count,llm_count,true_positives,false_positives,false_negatives,precision,recall,f1_score,common_dependencies,only_sciunit,only_llm
script_11,"llvmlite, munkres, numpy, numpy.libs, packaging, pkg_resources, platformdirs, pyarrow, pygame, pygame.libs, setuptools, zstandard","flask, pillow, pygame, redis, threading, uwsgi",12,6,1,5,11,0.16666666666666666,0.08333333333333333,0.1111111111111111,pygame,"llvmlite, munkres, numpy, numpy.libs, packaging, pkg_resources, platformdirs, pyarrow, pygame.libs, setuptools, zstandard","flask, pillow, redis, threading, uwsgi"
script_12,,"configparser, json, pillow, uwsgi",0,4,0,4,0,0.0,0.0,0.0,,,"configparser, json, pillow, uwsgi"
script_13,,"flask, ftplib, json, psycopg2, requests, smtplib",0,6,0,6,0,0.0,0.0,0.0,,,"flask, ftplib, json, psycopg2, requests, smtplib"
script_14,"iniconfig, pluggy, py, pygments, pytest","doctest, flask, multiprocessing, pytest, redis, requests, unittest",5,7,1,6,4,0.14285714285714285,0.2,0.16666666666666666,pytest,"iniconfig, pluggy, py, pygments","doctest, flask, multiprocessing, redis, requests, unittest"
script_15,,"codecs, difflib, string, unicodedata",0,4,0,4,0,0.0,0.0,0.0,,,"codecs, difflib, string, unicodedata"
script_16,"dateutil, pytz","calendar, dateutil, pytz",2,3,2,1,0,0.6666666666666666,1.0,0.8,"dateutil, pytz",,calendar
script_17,,"bs4, json, lxml, pymongo, redis, requests, xmltodict, yaml",0,8,0,8,0,0.0,0.0,0.0,,,"bs4, json, lxml, pymongo, redis, requests, xmltodict, yaml"
script_18,"IPython, PIL, asttokens, bottleneck, cloudpickle, colorama, comm, cycler, dateutil, defusedxml, executing, ipywidgets, jedi, kiwisolver, matplotlib, mpl_toolkits, numexpr, numpy, numpy.libs, packaging, pandas, parso, patsy, pillow.libs, prompt_toolkit, pure_eval, pyarrow, pygments, pyparsing, pytz, scipy, scipy.libs, seaborn, stack_data, statsmodels, traitlets, wcwidth","bokeh, matplotlib, numpy, pandas, plotly, seaborn",37,6,4,2,33,0.6666666666666666,0.10810810810810811,0.18604651162790697,"matplotlib, numpy, pandas, seaborn","asttokens, bottleneck, cloudpickle, colorama, comm, cycler, dateutil, defusedxml, executing, ipython, ipywidgets, jedi, kiwisolver, mpl_toolkits, numexpr, numpy.libs, packaging, parso, patsy, pil, pillow.libs, prompt_toolkit, pure_eval, pyarrow, pygments, pyparsing, pytz, scipy, scipy.libs, stack_data, statsmodels, traitlets, wcwidth","bokeh, plotly"
script_19,"bottleneck, cloudpickle, dateutil, joblib, lz4, numexpr, numpy, numpy.libs, pandas, psutil, pyarrow, pytz, scipy, scipy.libs, sklearn","numpy, sklearn, tensorflow, torch, xgboost",15,5,2,3,13,0.4,0.13333333333333333,0.2,"numpy, sklearn","bottleneck, cloudpickle, dateutil, joblib, lz4, numexpr, numpy.libs, pandas, psutil, pyarrow, pytz, scipy, scipy.libs","tensorflow, torch, xgboost"
script_20,,"configparser, json, redis, uwsgi, yaml",0,5,0,5,0,0.0,0.0,0.0,,,"configparser, json, redis, uwsgi, yaml"
script_21,,"imaplib, poplib, requests, smtplib, ssl",0,5,0,5,0,0.0,0.0,0.0,,,"imaplib, poplib, requests, smtplib, ssl"
script_22,"psutil, serial","bs4, platform, psutil, pymongo, redis, serial",2,6,2,4,0,0.3333333333333333,1.0,0.5,"psutil, serial",,"bs4, platform, pymongo, redis"
script_23,"PIL, bcrypt, cryptography, defusedxml, fontTools, fpdf, numpy, numpy.libs, pillow.libs, pypdf, reportlab","fpdf, pillow, pypdf, reportlab",11,4,3,1,8,0.75,0.2727272727272727,0.39999999999999997,"fpdf, pypdf, reportlab","bcrypt, cryptography, defusedxml, fonttools, numpy, numpy.libs, pil, pillow.libs",pillow
script_24,,"cv2, moviepy, numpy, pillow, pydub, redis, requests, wave",0,8,0,8,0,0.0,0.0,0.0,,,"cv2, moviepy, numpy, pillow, pydub, redis, requests, wave"
script_25,"aiohappyeyeballs, aiohttp, aiosignal, attr, bottleneck, branca, certifi, charset_normalizer, cloudpickle, dateutil, folium, frozenlist, geographiclib, geopy, idna, jinja2, markupsafe, multidict, numexpr, numpy, numpy.libs, pandas, propcache, pyarrow, pytz, requests, simplejson, urllib3, xyzservices, yarl, zstandard","folium, geopy, pillow, redis, requests",31,5,3,2,28,0.6,0.0967741935483871,0.16666666666666666,"folium, geopy, requests","aiohappyeyeballs, aiohttp, aiosignal, attr, bottleneck, branca, certifi, charset_normalizer, cloudpickle, dateutil, frozenlist, geographiclib, idna, jinja2, markupsafe, multidict, numexpr, numpy, numpy.libs, pandas, propcache, pyarrow, pytz, simplejson, urllib3, xyzservices, yarl, zstandard","pillow, redis"
script_26,"blinker, certifi, charset_normalizer, idna, oauthlib, requests, requests_oauthlib, simplejson, tweepy, urllib3, zstandard","facebook, instagram_basic_display, linkedin, redis, requests, requests_oauthlib, tweepy",11,7,3,4,8,0.42857142857142855,0.2727272727272727,0.33333333333333326,"requests, requests_oauthlib, tweepy","blinker, certifi, charset_normalizer, idna, oauthlib, simplejson, urllib3, zstandard","facebook, instagram_basic_display, linkedin, redis"
script_27,"certifi, charset_normalizer, ecdsa, gmpy2, idna, requests, simplejson, urllib3, zstandard","base58, binascii, ecdsa, hashlib, json, redis, requests, secp256k1, threading",9,9,2,7,7,0.2222222222222222,0.2222222222222222,0.2222222222222222,"ecdsa, requests","certifi, charset_normalizer, gmpy2, idna, simplejson, urllib3, zstandard","base58, binascii, hashlib, json, redis, secp256k1, threading"
script_28,"Cython, Mako, Markdown, PennyLane, PennyLane_Lightning, PennyLane_Lightning_GPU, PyQt5, Send2Trash, accelerate, aiohappyeyeballs, aiohttp, aiosignal, alembic, anyio, arcade, archspec, astpretty, astropy, attr, azure, babel, bcrypt, blinker, bokeh, boto3, botocore, bottle, cachetools, celery, certifi, certipy, cffi, charset_normalizer, conda, conda_libmamba_solver, conda_package_handling, cryptography, dask, dateutil, debugpy, deprecated, distributed, distro, docker, docutils, durationpy, dynaconf, en_core_web_sm, fabric, fastai, fastapi, fastavro, fastcore, filetype, flask, fonttools, fpdf2, frozenlist, future, gdal, google, grpc, grpc_status, gunicorn, httpx, huggingface_hub, humanfriendly, idna, imagecodecs, imageio, importlib_metadata, invoke, ipympl, ipython, isodate, jax_cuda12_pjrt, jinja2, jmespath, json5, jsonpath_ng, jsonschema, jupyter_ai, jupyter_ai_magics, jupyter_ai_nrp, jupyter_client, jupyter_core, jupyter_events, jupyter_lsp, jupyter_server, jupyter_vscode_proxy, jupyterhub, jupyterlab, kubernetes, langchain, langchain_anthropic, langchain_community, langchain_core, langchain_mistralai, langchain_ollama, langchain_openai, langchain_text_splitters, langsmith, lightning, line_profiler, markdown_it_py, matplotlib_inline, memory_profiler, mlflow, mlflow_skinny, multidict, nacl, nbclassic, nbclient, nbconvert, nbdime, nbformat, nbgitpuller, networkx, nltk, notebook, numpy, oauthlib, openai, opentelemetry, opentelemetry_api, opentelemetry_sdk, optuna, optuna_dashboard, pandas, paramiko, pbr, pip, propcache, pulp, py_cpuinfo, pybind11, pygame, pygments, pyserial, pytest, python_dotenv, qianfan, qiskit, rasterio, ray, rdflib, requests, requests_oauthlib, rsa, sentry_sdk, setuptools, simplejson, spacy, spacy_legacy, spacy_loggers, sqlparse, srsly, stevedore, sympy, tables, tabulate, thinc, tifffile, together, torch, tqdm, transformers, triton, typer, urllib3, uvicorn, virtualenv, visualdl, wandb, watchdog, weasel, webcolors, websocket, websocket_client, wheel, wordcloud, wrapt, yaml, yarl, zipp, zstandard","azure, boto3, docker, google, kubernetes, plotly, redis, requests",186,8,6,2,180,0.75,0.03225806451612903,0.061855670103092786,"azure, boto3, docker, google, kubernetes, requests","accelerate, aiohappyeyeballs, aiohttp, aiosignal, alembic, anyio, arcade, archspec, astpretty, astropy, attr, babel, bcrypt, blinker, bokeh, botocore, bottle, cachetools, celery, certifi, certipy, cffi, charset_normalizer, conda, conda_libmamba_solver, conda_package_handling, cryptography, cython, dask, dateutil, debugpy, deprecated, distributed, distro, docutils, durationpy, dynaconf, en_core_web_sm, fabric, fastai, fastapi, fastavro, fastcore, filetype, flask, fonttools, fpdf2, frozenlist, future, gdal, grpc, grpc_status, gunicorn, httpx, huggingface_hub, humanfriendly, idna, imagecodecs, imageio, importlib_metadata, invoke, ipympl, ipython, isodate, jax_cuda12_pjrt, jinja2, jmespath, json5, jsonpath_ng, jsonschema, jupyter_ai, jupyter_ai_magics, jupyter_ai_nrp, jupyter_client, jupyter_core, jupyter_events, jupyter_lsp, jupyter_server, jupyter_vscode_proxy, jupyterhub, jupyterlab, langchain, langchain_anthropic, langchain_community, langchain_core, langchain_mistralai, langchain_ollama, langchain_openai, langchain_text_splitters, langsmith, lightning, line_profiler, mako, markdown, markdown_it_py, matplotlib_inline, memory_profiler, mlflow, mlflow_skinny, multidict, nacl, nbclassic, nbclient, nbconvert, nbdime, nbformat, nbgitpuller, networkx, nltk, notebook, numpy, oauthlib, openai, opentelemetry, opentelemetry_api, opentelemetry_sdk, optuna, optuna_dashboard, pandas, paramiko, pbr, pennylane, pennylane_lightning, pennylane_lightning_gpu, pip, propcache, pulp, py_cpuinfo, pybind11, pygame, pygments, pyqt5, pyserial, pytest, python_dotenv, qianfan, qiskit, rasterio, ray, rdflib, requests_oauthlib, rsa, send2trash, sentry_sdk, setuptools, simplejson, spacy, spacy_legacy, spacy_loggers, sqlparse, srsly, stevedore, sympy, tables, tabulate, thinc, tifffile, together, torch, tqdm, transformers, triton, typer, urllib3, uvicorn, virtualenv, visualdl, wandb, watchdog, weasel, webcolors, websocket, websocket_client, wheel, wordcloud, wrapt, yaml, yarl, zipp, zstandard","plotly, redis"
script_29,"OpenGL, llvmlite, munkres, numpy, numpy.libs, packaging, pkg_resources, platformdirs, pyarrow, pygame, pygame.libs, setuptools, zstandard","OpenGL, glfw, moderngl, numpy, pillow, pygame, pyrr, stl, trimesh, uwsgi",13,10,3,7,10,0.3,0.23076923076923078,0.2608695652173913,"numpy, opengl, pygame","llvmlite, munkres, numpy.libs, packaging, pkg_resources, platformdirs, pyarrow, pygame.libs, setuptools, zstandard","glfw, moderngl, pillow, pyrr, stl, trimesh, uwsgi"
script_30,,"matplotlib, mpl_toolkits, numba, numpy, pandas, scipy, sympy",0,7,0,7,0,0.0,0.0,0.0,,,"matplotlib, mpl_toolkits, numba, numpy, pandas, scipy, sympy"
script_31,"anyio, attr, certifi, charset_normalizer, click, dns, h11, h2, hpack, httpcore, httpx, hyperframe, idna, paho, pygments, requests, rich, simplejson, sniffio, urllib3, zstandard","json, numpy, paho, psycopg2, queue, requests",21,6,2,4,19,0.3333333333333333,0.09523809523809523,0.14814814814814814,"paho, requests","anyio, attr, certifi, charset_normalizer, click, dns, h11, h2, hpack, httpcore, httpx, hyperframe, idna, pygments, rich, simplejson, sniffio, urllib3, zstandard","json, numpy, psycopg2, queue"
script_32,"PIL, control, cycler, dateutil, defusedxml, gmpy2, kiwisolver, matplotlib, mpl_toolkits, mpmath, numpy, numpy.libs, packaging, pillow.libs, pyparsing, scipy, scipy.libs, sympy","control, matplotlib, numpy, redis, requests, scipy, sklearn, sympy",18,8,5,3,13,0.625,0.2777777777777778,0.3846153846153846,"control, matplotlib, numpy, scipy, sympy","cycler, dateutil, defusedxml, gmpy2, kiwisolver, mpl_toolkits, mpmath, numpy.libs, packaging, pil, pillow.libs, pyparsing, scipy.libs","redis, requests, sklearn"
script_33,"bcrypt, bson, cryptography, greenlet, psycopg2, psycopg2_binary.libs, pymongo, redis, sqlalchemy","json, plotly, psycopg2, pymongo, redis, requests, sqlalchemy",9,7,4,3,5,0.5714285714285714,0.4444444444444444,0.5,"psycopg2, pymongo, redis, sqlalchemy","bcrypt, bson, cryptography, greenlet, psycopg2_binary.libs","json, plotly, requests"
script_34,"attr, colorama, greenlet, prometheus_client, psutil, pygments, rich, structlog","prometheus_client, psutil, redis, structlog, traceback",8,5,3,2,5,0.6,0.375,0.4615384615384615,"prometheus_client, psutil, structlog","attr, colorama, greenlet, pygments, rich","redis, traceback"
script_35,"certifi, charset_normalizer, idna, requests, simplejson, urllib3, yaml, zstandard","hashlib, json, pillow, requests, transformers, yaml",8,6,2,4,6,0.3333333333333333,0.25,0.28571428571428575,"requests, yaml","certifi, charset_normalizer, idna, simplejson, urllib3, zstandard","hashlib, json, pillow, transformers"
script_36,"numpy, numpy.libs","Bio, matplotlib, networkx, numpy, pandas, redis, sklearn",2,7,1,6,1,0.14285714285714285,0.5,0.22222222222222224,numpy,numpy.libs,"bio, matplotlib, networkx, pandas, redis, sklearn"
script_37,"PIL, bottleneck, cloudpickle, cycler, dateutil, defusedxml, joblib, kiwisolver, lz4, matplotlib, mpl_toolkits, numexpr, numpy, numpy.libs, packaging, pandas, pillow.libs, psutil, pyarrow, pyparsing, pytz, scipy, scipy.libs, sklearn","matplotlib, numpy, pandas, redis, requests, scipy, sklearn, yfinance",24,8,5,3,19,0.625,0.20833333333333334,0.3125,"matplotlib, numpy, pandas, scipy, sklearn","bottleneck, cloudpickle, cycler, dateutil, defusedxml, joblib, kiwisolver, lz4, mpl_toolkits, numexpr, numpy.libs, packaging, pil, pillow.libs, psutil, pyarrow, pyparsing, pytz, scipy.libs","redis, requests, yfinance"
script_38,"PIL, defusedxml, dill, numpy, numpy.libs, pillow.libs, qiskit, rustworkx, scipy, stevedore, symengine, symengine.libs","cirq, matplotlib, numpy, pennylane, qiskit, qiskit_aer, scipy",12,7,3,4,9,0.42857142857142855,0.25,0.3157894736842105,"numpy, qiskit, scipy","defusedxml, dill, numpy.libs, pil, pillow.libs, rustworkx, stevedore, symengine, symengine.libs","cirq, matplotlib, pennylane, qiskit_aer"
script_39,,"community, networkx, numpy, pandas, redis, scipy, sklearn, tensorflow",0,8,0,8,0,0.0,0.0,0.0,,,"community, networkx, numpy, pandas, redis, scipy, sklearn, tensorflow"
script_40,"bottleneck, cloudpickle, dateutil, joblib, lz4, numexpr, numpy, numpy.libs, pandas, psutil, pyarrow, pytz, scipy, scipy.libs, sklearn","numpy, pandas, scipy, sklearn",15,4,4,0,11,1.0,0.26666666666666666,0.4210526315789474,"numpy, pandas, scipy, sklearn","bottleneck, cloudpickle, dateutil, joblib, lz4, numexpr, numpy.libs, psutil, pyarrow, pytz, scipy.libs",
script_41,"numpy, numpy.libs","concurrent, concurrent.futures, numpy, queue, redis",2,5,1,4,1,0.2,0.5,0.28571428571428575,numpy,numpy.libs,"concurrent, concurrent.futures, queue, redis"
script_42,,"cvxpy, numpy, ortools, pulp, scipy, sklearn",0,6,0,6,0,0.0,0.0,0.0,,,"cvxpy, numpy, ortools, pulp, scipy, sklearn"
script_43,,"asyncio, dataclasses, inspect, pydantic, weakref",0,5,0,5,0,0.0,0.0,0.0,,,"asyncio, dataclasses, inspect, pydantic, weakref"
script_44,,"cProfile, gc, line_profiler, memory_profiler, multiprocessing, numpy, objgraph, pstats, psutil, pympler, redis, tracemalloc, weakref",0,13,0,13,0,0.0,0.0,0.0,,,"cprofile, gc, line_profiler, memory_profiler, multiprocessing, numpy, objgraph, pstats, psutil, pympler, redis, tracemalloc, weakref"
script_45,,"OpenGL, arcade, dataclasses, numpy, psycopg2, pygame, pymunk, redis",0,8,0,8,0,0.0,0.0,0.0,,,"arcade, dataclasses, numpy, opengl, psycopg2, pygame, pymunk, redis"
script_46,,"aubio, essentia, librosa, matplotlib, mir_eval, music21, numpy, pyaudio, pydub, scipy, soundfile, tensorflow, wave",0,13,0,13,0,0.0,0.0,0.0,,,"aubio, essentia, librosa, matplotlib, mir_eval, music21, numpy, pyaudio, pydub, scipy, soundfile, tensorflow, wave"
script_47,,"PIL, cv2, dlib, face_recognition, matplotlib, mediapipe, numpy, pillow, skimage, sklearn, tensorflow, torch, torchvision",0,13,0,13,0,0.0,0.0,0.0,,,"cv2, dlib, face_recognition, matplotlib, mediapipe, numpy, pil, pillow, skimage, sklearn, tensorflow, torch, torchvision"
script_48,"bs4, certifi, charset_normalizer, idna, requests, simplejson, soupsieve, urllib3, zstandard","bs4, hashlib, nltk, numpy, pandas, pymongo, redis, requests, scrapy, selenium, textblob, wordcloud",9,12,2,10,7,0.16666666666666666,0.2222222222222222,0.1904761904761905,"bs4, requests","certifi, charset_normalizer, idna, simplejson, soupsieve, urllib3, zstandard","hashlib, nltk, numpy, pandas, pymongo, redis, scrapy, selenium, textblob, wordcloud"
script_49,"bcrypt, bottleneck, bson, cloudpickle, cryptography, dateutil, greenlet, numexpr, numpy, numpy.libs, pandas, psycopg2, psycopg2_binary.libs, pyarrow, pymongo, pytz, redis, sqlalchemy","hashlib, numpy, pandas, psycopg2, pymongo, redis, requests, sqlalchemy",18,8,6,2,12,0.75,0.3333333333333333,0.46153846153846156,"numpy, pandas, psycopg2, pymongo, redis, sqlalchemy","bcrypt, bottleneck, bson, cloudpickle, cryptography, dateutil, greenlet, numexpr, numpy.libs, psycopg2_binary.libs, pyarrow, pytz","hashlib, requests"
script_50,,"base64, cryptography, hashlib, hmac, ipaddress, numpy, redis, secrets, ssl",0,9,0,9,0,0.0,0.0,0.0,,,"base64, cryptography, hashlib, hmac, ipaddress, numpy, redis, secrets, ssl"
script_51,"PIL, bottleneck, cloudpickle, cycler, dateutil, defusedxml, kiwisolver, matplotlib, mpl_toolkits, numexpr, numpy, numpy.libs, packaging, pandas, pillow.libs, pyarrow, pyparsing, pytz","matplotlib, numpy, pandas",18,3,3,0,15,1.0,0.16666666666666666,0.2857142857142857,"matplotlib, numpy, pandas","bottleneck, cloudpickle, cycler, dateutil, defusedxml, kiwisolver, mpl_toolkits, numexpr, numpy.libs, packaging, pil, pillow.libs, pyarrow, pyparsing, pytz",
script_52,"bottleneck, bs4, certifi, charset_normalizer, cloudpickle, dateutil, idna, joblib, lz4, nltk, numexpr, numpy, numpy.libs, pandas, psutil, pyarrow, pytz, regex, requests, scipy, scipy.libs, simplejson, sklearn, soupsieve, urllib3, zstandard","bs4, json, nltk, redis, requests",26,5,3,2,23,0.6,0.11538461538461539,0.1935483870967742,"bs4, nltk, requests","bottleneck, certifi, charset_normalizer, cloudpickle, dateutil, idna, joblib, lz4, numexpr, numpy, numpy.libs, pandas, psutil, pyarrow, pytz, regex, scipy, scipy.libs, simplejson, sklearn, soupsieve, urllib3, zstandard","json, redis"
script_53,,"joblib, json, numpy, sklearn, tensorflow",0,5,0,5,0,0.0,0.0,0.0,,,"joblib, json, numpy, sklearn, tensorflow"
script_54,,"PIL, cv2, matplotlib, numpy, pillow",0,5,0,5,0,0.0,0.0,0.0,,,"cv2, matplotlib, numpy, pil, pillow"
script_55,,"numpy, pandas, pillow, sklearn, tensorflow",0,5,0,5,0,0.0,0.0,0.0,,,"numpy, pandas, pillow, sklearn, tensorflow"
script_56,,"matplotlib, numpy, pandas, plotly, seaborn",0,5,0,5,0,0.0,0.0,0.0,,,"matplotlib, numpy, pandas, plotly, seaborn"
script_57,,"flask, hashlib, json, pandas, psycopg2, redis, requests, uwsgi",0,8,0,8,0,0.0,0.0,0.0,,,"flask, hashlib, json, pandas, psycopg2, redis, requests, uwsgi"
script_58,,"bs4, matplotlib, nltk, pandas, pymongo, requests, spacy, textblob, wordcloud",0,9,0,9,0,0.0,0.0,0.0,,,"bs4, matplotlib, nltk, pandas, pymongo, requests, spacy, textblob, wordcloud"
script_59,,"matplotlib, numpy, pandas, pmdarima, prophet, sklearn, statsmodels",0,7,0,7,0,0.0,0.0,0.0,,,"matplotlib, numpy, pandas, pmdarima, prophet, sklearn, statsmodels"
script_60,,"json, numpy, pandas, requests, sqlalchemy",0,5,0,5,0,0.0,0.0,0.0,,,"json, numpy, pandas, requests, sqlalchemy"
